timestamp,reflux_ratio,feed_rate,feed_composition,top_purity,bottom_purity,reboiler_duty,condenser_duty,distillate_rate,bottoms_rate,top_temperature,bottom_temperature,feed_temperature,column_pressure,steam_flow,cooling_water_flow,operator_shift,maintenance_flag
2025-01-01 00:00:00,3.9,103.6,0.4457,0.8984,0.0347,326.99,311.38,49.3,54.3,85.1,110.2,97.5,101.54,0.15,12.5,B,0
2025-01-01 01:00:00,3.39,103.2,0.4756,0.8946,0.0423,313.28,319.77,52.5,50.7,79.7,109.9,92.9,102.99,0.14,12.8,B,0
2025-01-01 02:00:00,4.02,83.1,0.4522,0.88,0.0423,265.62,263.54,40.6,42.4,85.6,111.9,96.2,102.32,0.12,10.5,B,0
2025-01-01 03:00:00,4.72,105.0,0.5088,0.9098,0.0516,342.69,332.61,56.0,49.1,81.8,113.1,87.7,97.47,0.16,13.3,B,0
2025-01-01 04:00:00,3.31,121.0,0.5958,0.88,0.0647,283.07,289.24,78.8,42.2,84.6,111.4,106.4,100.74,0.13,11.6,A,0
2025-01-01 05:00:00,3.31,90.9,0.4383,0.88,0.0473,243.78,246.6,42.7,48.2,79.7,112.0,97.1,103.26,0.11,9.9,B,0
2025-01-01 06:00:00,4.76,125.7,0.5801,0.88,0.0521,419.67,364.29,80.2,45.5,76.1,109.6,103.5,102.55,0.19,14.6,B,0
2025-01-01 07:00:00,4.11,117.3,0.4375,0.9228,0.0419,306.09,313.71,52.7,64.6,77.1,110.3,93.7,98.95,0.14,12.5,B,0
2025-01-01 08:00:00,3.12,99.0,0.4322,0.88,0.0436,272.94,286.56,46.0,53.0,89.5,113.0,89.8,102.55,0.12,11.5,B,0
2025-01-01 09:00:00,3.93,107.9,0.5655,0.9449,0.0552,304.85,275.4,61.9,46.0,80.2,111.1,92.5,104.04,0.14,11.0,C,0
2025-01-01 10:00:00,3.13,134.0,0.5738,0.9049,0.056,350.44,322.33,81.7,52.3,85.3,109.5,94.8,98.37,0.16,12.9,B,0
2025-01-01 11:00:00,3.13,121.0,0.5681,0.9185,0.0482,299.44,320.28,72.3,48.7,78.1,110.1,94.4,95.42,0.14,12.8,A,0
2025-01-01 12:00:00,3.69,110.1,0.3947,0.88,0.0337,316.14,311.83,47.0,63.1,82.5,112.1,104.3,106.62,0.14,12.5,C,0
